Shape,Carat,Color,Clarity,Cut,Depth,Table,Polish,Symmetry,Measurement,Lab Certification,Price
Cushion,1.00,F,VS2,,68.7,63,Excellent,Excellent,6.15X5.59X3.84,GIA,US$6,600
Cushion,0.91,D,SI1,,69.3,59,Excellent,Very Good,5.67X5.44X3.77,GIA,US$5,205
Cushion,0.91,J,VS2,,70.2,61,Excellent,Very Good,5.54X5.22X3.66,GIA,US$3,422
Cushion,0.91,G,SI1,,65.7,62,Very Good,Good,5.84X5.45X3.58,GIA,US$4,332
Cushion,0.91,F,SI1,,66.4,66,Excellent,Very Good,5.82X5.59X3.71,GIA,US$4,950
Cushion,0.51,K,VS1,,69,62,Excellent,Very Good,5.23X4.34X3,GIA,US$918
Cushion,0.51,J,SI2,,67.8,64,Very Good,Good,4.78X4.47X3.03,GIA,US$979
Cushion,1.02,J,VS1,,68.2,70,Excellent,Very Good,6.33X5.57X3.79,GIA,US$4,692
Cushion,1.01,J,SI2,,64.5,61,Excellent,Excellent,6.2X5.8X3.75,GIA,US$3,676
Cushion,1.01,G,SI2,,67.9,61,Very Good,Excellent,5.97X5.59X3.79,GIA,US$5,050
Cushion,1.01,F,VS2,,68.5,61,Excellent,Excellent,5.92X5.77X3.95,GIA,US$7,151
Cushion,0.81,D,SI2,,67,62,Very Good,Very Good,5.76X5.15X3.45,GIA,US$3,370
Cushion,0.90,F,SI1,,69.2,63,Excellent,Very Good,5.81X5.31X3.68,GIA,US$4,716
Cushion,0.90,F,SI1,,69.6,64,Excellent,Excellent,5.63X5.5X3.83,GIA,US$4,932
Cushion,0.90,G,SI1,,67.6,60,Excellent,Very Good,5.95X5.19X3.51,GIA,US$3,960
Cushion,0.90,F,SI1,,69.9,61,Excellent,Very Good,5.93X5.51X3.85,GIA,US$5,292
Cushion,0.90,H,SI2,,59.8,63,Excellent,Very Good,5.94X5.41X3.24,GIA,US$3,384
Cushion,0.70,F,SI1,,62.2,61,Excellent,Very Good,5.64X4.87X3.03,GIA,US$2,884
Cushion,0.70,D,SI1,,68.2,62,Excellent,Very Good,5.55X4.82X3.29,GIA,US$3,472
Cushion,0.70,E,VS1,,70.4,63,Very Good,Very Good,5.37X4.86X3.42,GIA,US$2,800
Cushion,0.70,H,VS1,,68.3,66,Very Good,Very Good,5.51X4.9X3.35,GIA,US$2,744
Cushion,0.59,H,VVS2,,69.9,61,Excellent,Very Good,4.66X4.62X3.23,GIA,US$1,644
Cushion,0.41,D,SI2,,68.4,66,Good,Good,4.51X4.11X2.81,IGI,US$754
Cushion,1.01,G,SI1,,67.6,61.6,Excellent,Very Good,6.14X5.46X3.69,EGL,US$4,606
Cushion,1.01,D,SI2,,66.8,62,Excellent,Very Good,6.09X5.71X3.81,GIA,US$5,252
Cushion,1.01,F,SI1,,68,62,Excellent,Excellent,6.21X5.69X3.87,GIA,US$6,181
Cushion,1.01,G,VS2,,68.2,64,Excellent,Very Good,6.23X5.62X3.83,GIA,US$6,949
Cushion,1.01,I,SI2,,68.2,64,Excellent,Very Good,5.87X5.51X3.76,GIA,US$4,000
Cushion,1.01,F,VS2,,69.2,65,Excellent,Excellent,6.04X5.59X3.87,GIA,US$7,151
Cushion,1.01,G,SI1,,68.9,67,Very Good,Good,6X5.53X3.81,GIA,US$5,979
Cushion,3.01,G,VS2,,68.7,69,Very Good,Very Good,8.41X8.15X5.60,GIA,US$43,236
Cushion,3.00,G,VS1,,69.8,68,Excellent,Very Good,8.90X7.81X5.46,GIA,US$44,982
Cushion,3.00,J,VS2,,70.8,71,Very Good,Very Good,8.23X7.90X5.59,GIA,US$23,712
Cushion,1.20,G,SI1,,68.6,64,Excellent,Very Good,7.07X5.60X3.84,GIA,US$6,895
Cushion,1.03,J,VS2,,69,67,Very Good,Good,6.07X5.73X3.95,GIA,US$4,161
Cushion,0.61,L,SI1,,65,59,Very Good,Very Good,5.19X4.79X3.11,GIA,US$1,049
Cushion,1.01,F,SI2,,68.1,62,Excellent,Very Good,6.01X5.96X4.05,GIA,US$5,818
Cushion,1.01,H,SI2,,68.2,62,Excellent,Very Good,6.2X5.54X3.78,GIA,US$4,848
Cushion,1.01,H,VS2,,69.2,62,Excellent,Good,6.27X5.53X3.83,GIA,US$5,656
Cushion,1.01,G,SI1,,69,63,Excellent,Excellent,6.01X5.68X3.92,GIA,US$5,979
Cushion,2.05,K,VS2,,64.5,66,Excellent,Very Good,7.61X7.31X4.71,GIA,US$11,365
Cushion,3.00,J,SI1,,62.1,64,Very Good,Very Good,8.49X8.32X5.17,GIA,US$25,344
Cushion,3.00,I,VS2,,69.1,66,Very Good,Very Good,8.32X8.15X5.64,GIA,US$34,560
Cushion,0.61,I,VVS2,,67.3,60,Excellent,Very Good,4.78X4.75X3.20,GIA,US$1,616
Cushion,0.33,E,VVS1,,63.3,62,Very Good,Good,4.52X3.88X2.46,GIA,US$752
Cushion,0.90,K,VS2,,67.6,61,Excellent,Very Good,5.40X5.39X3.64,GIA,US$2,137
Cushion,0.92,J,VS2,,68.1,59,Excellent,Very Good,5.46X5.36X3.65,GIA,US$2,679
Cushion,0.92,H,VS1,,67,63,Excellent,Very Good,5.52X5.46X3.66,GIA,US$4,013
Cushion,0.91,H,SI1,,68.5,61,Excellent,Very Good,5.38X5.35X3.67,GIA,US$3,331
Cushion,0.91,I,VVS2,,67.5,63,Excellent,Very Good,5.45X5.34X3.61,GIA,US$3,459
Cushion,1.01,E,VS1,,68.6,63,Excellent,Very Good,5.70X5.52X3.79,GIA,US$6,424
Cushion,0.74,J,VS2,,67.8,59,Excellent,Very Good,5.07X4.99X3.38,GIA,US$1,875
Cushion,0.80,G,VVS2,,68,59,Excellent,Very Good,5.31X5.14X3.50,GIA,US$3,118
Cushion,0.72,G,SI1,,61,63,Excellent,Very Good,5.68X4.85X2.96,GIA,US$2,650
Cushion,0.72,F,SI2,,68.5,65,Excellent,Very Good,5.53X4.9X3.36,GIA,US$2,477
Cushion,0.72,E,SI2,,69,71,Excellent,Very Good,5.21X5.15X3.56,GIA,US$2,794
Cushion,0.53,D,VS1,,64.8,62,Excellent,Very Good,4.65X4.60X2.98,GIA,US$1,539
Cushion,1.08,I,VS1,,66.7,69,Excellent,Very Good,6.06X5.88X3.92,GIA,US$5,080
Cushion,2.02,K,SI2,,68.7,65,Very Good,Very Good,8.28X6.69X4.59,GIA,US$11,044
Cushion,2.02,G,VS1,,69.6,66,Very Good,Very Good,7.29X7.08X4.93,GIA,US$23,994
Cushion,1.51,L,VS1,,68.3,68,Very Good,Good,7.59X6.04X4.13,GIA,US$5,132
Cushion,1.51,F,SI1,,69.4,70,Very Good,Very Good,7.06X6.38X4.43,GIA,US$12,583
Cushion,2.08,I,VS1,,69.6,65,Excellent,Good,7.82X7.07X4.92,GIA,US$16,713
